Path,Name,Value
/cases/h01/,X-Robots-Tag,noindex
/cases/h01/index.html,X-Robots-Tag,noindex
/cases/h02/,X-Robots-Tag,nofollow
/cases/h02/index.html,X-Robots-Tag,nofollow
/cases/h03/,X-Robots-Tag,"noindex, nofollow"
/cases/h03/index.html,X-Robots-Tag,"noindex, nofollow"
/cases/h04/,X-Robots-Tag,"NOINDEX, NOFOLLOW"
/cases/h04/index.html,X-Robots-Tag,"NOINDEX, NOFOLLOW"
/cases/h05/,X-Robots-Tag,noindex nofollow
/cases/h05/index.html,X-Robots-Tag,noindex nofollow
/cases/h06/,x-RoBoTs-TaG,noindex
/cases/h06/index.html,x-RoBoTs-TaG,noindex
/cases/h07/,X-Robots-Tag,"noindex, nofollow"
/cases/h07/index.html,X-Robots-Tag,"noindex, nofollow"
/cases/h08/restricted.txt,X-Robots-Tag,noindex
/cases/h09/,X-Robots-Tag,noindex
/cases/h09/index.html,X-Robots-Tag,noindex
/cases/h10/,X-Robots-Tag,"noindex,nofollow"
/cases/h10/index.html,X-Robots-Tag,"noindex,nofollow"
/cases/h11/,X-Robots-Tag,"index,follow"
/cases/h11/index.html,X-Robots-Tag,"index,follow"
/cases/h12/,X-Robots-Tag,"googlebot: noindex,nofollow"
/cases/h12/index.html,X-Robots-Tag,"googlebot: noindex,nofollow"
/cases/h13/,X-Robots-Tag,"SearchStax Crawler: noindex,nofollow"
/cases/h13/index.html,X-Robots-Tag,"SearchStax Crawler: noindex,nofollow"
/cases/h14/,X-Robots-Tags,"noindex,nofollow"
/cases/h14/index.html,X-Robots-Tags,"noindex,nofollow"
/cases/h15/,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index,follow"
/cases/h15/index.html,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index,follow"
/cases/h16/,X-Robots-Tag,"SearchStax Crawler: index,follow, noindex,nofollow"
/cases/h16/index.html,X-Robots-Tag,"SearchStax Crawler: index,follow, noindex,nofollow"
/cases/h17/,X-Robots-Tag,"index,follow, SearchStax Crawler: noindex,nofollow"
/cases/h17/index.html,X-Robots-Tag,"index,follow, SearchStax Crawler: noindex,nofollow"
/cases/h18/,X-Robots-Tag,"SearchStax Crawler: noindex,nofollow, index,follow"
/cases/h18/index.html,X-Robots-Tag,"SearchStax Crawler: noindex,nofollow, index,follow"
/cases/h19/,X-Robots-Tag,"noindex, googlebot: index,follow"
/cases/h19/index.html,X-Robots-Tag,"noindex, googlebot: index,follow"
/cases/h20/,X-Robots-Tag,"index,follow, googlebot: noindex,nofollow"
/cases/h20/index.html,X-Robots-Tag,"index,follow, googlebot: noindex,nofollow"
/cases/h21/,X-Robots-Tag,"SEARCHSTAX CRAWLER: NoInDeX, NoFoLlOw"
/cases/h21/index.html,X-Robots-Tag,"SEARCHSTAX CRAWLER: NoInDeX, NoFoLlOw"
/cases/h22/,X-Robots-Tag,"SearchStax Crawler-lookalike: noindex,nofollow"
/cases/h22/index.html,X-Robots-Tag,"SearchStax Crawler-lookalike: noindex,nofollow"
/cases/h23/,X-Robots-Tag,"nofollow, noindex"
/cases/h23/index.html,X-Robots-Tag,"nofollow, noindex"
/cases/h24/,X-Robots-Tag,"noindex, noindex"
/cases/h24/index.html,X-Robots-Tag,"noindex, noindex"
/cases/h25/,X-Robots-Tag,"index,follow, noindex,nofollow"
/cases/h25/index.html,X-Robots-Tag,"index,follow, noindex,nofollow"
/cases/h26/,X-Robots-Tag,"noindex,nofollow, index,follow"
/cases/h26/index.html,X-Robots-Tag,"noindex,nofollow, index,follow"
/cases/h27/,X-Robots-Tag,"index,follow, SearchStax Crawler: noindex, SearchStax Crawler: nofollow"
/cases/h27/index.html,X-Robots-Tag,"index,follow, SearchStax Crawler: noindex, SearchStax Crawler: nofollow"
/cases/h28/,X-Robots-Tag,"SearchStax Crawler: nofollow, SearchStax Crawler: noindex, index,follow"
/cases/h28/index.html,X-Robots-Tag,"SearchStax Crawler: nofollow, SearchStax Crawler: noindex, index,follow"
/cases/h29/,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index"
/cases/h29/index.html,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index"
/cases/h30/,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index,follow"
/cases/h30/index.html,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index,follow"
/cases/h31/,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index,follow, googlebot: noindex,nofollow"
/cases/h31/index.html,X-Robots-Tag,"noindex,nofollow, SearchStax Crawler: index,follow, googlebot: noindex,nofollow"
/cases/h32/,X-Robots-Tag,", noindex"
/cases/h32/index.html,X-Robots-Tag,", noindex"
/cases/h33/,X-Robots-Tag,"SearchStax Crawler: index,follow"
/cases/h33/index.html,X-Robots-Tag,"SearchStax Crawler: index,follow"
/cases/h34/,X-Robots-Tag,"noindex,nofollow"
/cases/h34/index.html,X-Robots-Tag,"noindex,nofollow"
/cases/r06/blocked/,X-Robots-Tag,"noindex,nofollow"
/cases/r06/blocked/index.html,X-Robots-Tag,"noindex,nofollow"
/cases/u02/,X-Robots-Tag,"index,follow"
/cases/u02/index.html,X-Robots-Tag,"index,follow"
